country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Taiwan,2/16/20,20,1,2,1,1
Taiwan,2/17/20,22,1,2,0,2
Taiwan,2/18/20,22,1,0,0,3
Taiwan,2/19/20,23,1,1,0,4
Taiwan,2/20/20,24,1,1,0,5
Taiwan,2/21/20,26,1,2,0,6
Taiwan,2/22/20,26,1,0,0,7
Taiwan,2/23/20,28,1,2,0,8
Taiwan,2/24/20,30,1,2,0,9
Taiwan,2/25/20,31,1,1,0,10
Taiwan,2/26/20,32,1,1,0,11
Taiwan,2/27/20,32,1,0,0,12
Taiwan,2/28/20,34,1,2,0,13
Taiwan,2/29/20,39,1,5,0,14
Taiwan,3/1/20,40,1,1,0,15
Taiwan,3/2/20,41,1,1,0,16
Taiwan,3/3/20,42,1,1,0,17
Taiwan,3/4/20,42,1,0,0,18
Taiwan,3/5/20,44,1,2,0,19
Taiwan,3/6/20,45,1,1,0,20
Taiwan,3/7/20,45,1,0,0,21
Taiwan,3/8/20,45,1,0,0,22
Taiwan,3/9/20,45,1,0,0,23
Taiwan,3/10/20,47,1,2,0,24
Taiwan,3/11/20,48,1,1,0,25
Taiwan,3/12/20,49,1,1,0,26
Taiwan,3/13/20,50,1,1,0,27
Taiwan,3/14/20,53,1,3,0,28
Taiwan,3/15/20,59,1,6,0,29
Taiwan,3/16/20,67,1,8,0,30
Taiwan,3/17/20,77,1,10,0,31
Taiwan,3/18/20,100,1,23,0,32
Taiwan,3/19/20,108,1,8,0,33
Taiwan,3/20/20,135,2,27,1,34
Taiwan,3/21/20,153,2,18,0,35
Taiwan,3/22/20,169,2,16,0,36
Taiwan,3/23/20,195,2,26,0,37
Taiwan,3/24/20,215,2,20,0,38
Taiwan,3/25/20,235,2,20,0,39
Taiwan,3/26/20,252,2,17,0,40
Taiwan,3/27/20,267,2,15,0,41
Taiwan,3/28/20,283,2,16,0,42
Taiwan,3/29/20,298,2,15,0,43
Taiwan,3/30/20,306,5,8,3,44
Taiwan,3/31/20,322,5,16,0,45
Taiwan,4/1/20,329,5,7,0,46
Taiwan,4/2/20,339,5,10,0,47
Taiwan,4/3/20,348,5,9,0,48
Taiwan,4/4/20,355,5,7,0,49
Taiwan,4/5/20,363,5,8,0,50
Taiwan,4/6/20,373,5,10,0,51
Taiwan,4/7/20,376,5,3,0,52
Taiwan,4/8/20,379,5,3,0,53
Taiwan,4/9/20,380,5,1,0,54
Taiwan,4/10/20,382,6,2,1,55
Taiwan,4/11/20,385,6,3,0,56
Taiwan,4/12/20,388,6,3,0,57
Taiwan,4/13/20,393,6,5,0,58
Taiwan,4/14/20,393,6,0,0,59
Taiwan,4/15/20,395,6,2,0,60
Taiwan,4/16/20,395,6,0,0,61
Taiwan,4/17/20,395,6,0,0,62
Taiwan,4/18/20,398,6,3,0,63
Taiwan,4/19/20,420,6,22,0,64
Taiwan,4/20/20,422,6,2,0,65
Taiwan,4/21/20,425,6,3,0,66
Taiwan,4/22/20,426,6,1,0,67
Taiwan,4/23/20,427,6,1,0,68
Taiwan,4/24/20,428,6,1,0,69
Taiwan,4/25/20,429,6,1,0,70
Taiwan,4/26/20,429,6,0,0,71
Taiwan,4/27/20,429,6,0,0,72
Taiwan,4/28/20,429,6,0,0,73
Taiwan,4/29/20,429,6,0,0,74
Taiwan,4/30/20,429,6,0,0,75
Taiwan,5/1/20,429,6,0,0,76
Taiwan,5/2/20,432,6,3,0,77
Taiwan,5/3/20,436,6,4,0,78
Taiwan,5/4/20,438,6,2,0,79
Taiwan,5/5/20,438,6,0,0,80
Taiwan,5/6/20,439,6,1,0,81
Taiwan,5/7/20,440,6,1,0,82
Taiwan,5/8/20,440,6,0,0,83
Taiwan,5/9/20,440,6,0,0,84
Taiwan,5/10/20,440,6,0,0,85
Taiwan,5/11/20,440,7,0,1,86
Taiwan,5/12/20,440,7,0,0,87
Taiwan,5/13/20,440,7,0,0,88
Taiwan,5/14/20,440,7,0,0,89
Taiwan,5/15/20,440,7,0,0,90
Taiwan,5/16/20,440,7,0,0,91
